cluster,rna_class,observed,expected,cluster_size,class_total,cluster_composition,class_distribution,log2_obs_expected,log2_or,p_value,descriptive_only,p_fdr,analysis,method,algorithm,run,q_family
1,ribosomal protein,16,91.54158004158005,1061,166,0.01508011310084826,0.0963855421686747,-2.516355288491648,-3.740433284515064,5.599134541235829e-38,False,2.519610543556123e-36,global,FLPS,hierarchical,k5,1.5117663261336737e-35
1,mRNA,485,409.731288981289,1061,743,0.4571159283694628,0.6527590847913862,0.243306679391171,0.9801133671468144,1.437239933070581e-12,False,3.233789849408808e-11,global,FLPS,hierarchical,k5,2.7718198709218346e-11
1,tRNA,56,98.15904365904366,1061,178,0.0527803958529689,0.3146067415730337,-0.8096943660535166,-1.555853460438104,2.633365598430335e-11,False,3.950048397645503e-10,global,FLPS,hierarchical,k5,4.740058077174604e-10
3,ribosomal protein,48,19.58523908523908,227,166,0.2114537444933921,0.2891566265060241,1.293267665853358,1.84858178121269,2.445199537018942e-10,False,2.75084947914631e-09,global,FLPS,hierarchical,k5,3.8835522058536145e-09
5,ribosomal protein,56,27.69542619542619,321,166,0.1744548286604361,0.3373493975903614,1.015779087358418,1.524189874530393,2.227820655666972e-08,False,2.005038590100275e-07,global,FLPS,hierarchical,k5,2.8195855173285116e-07
5,mRNA,90,123.9620582120582,321,743,0.2803738317757009,0.1211305518169583,-0.4619017075611828,-0.8145231053239121,1.832834251686867e-05,False,0.000137462568876515,global,FLPS,hierarchical,k5,0.00014554860233983945
5,tRNA,48,29.6975051975052,321,178,0.1495327102803738,0.2696629213483146,0.6926926664024973,1.001641167948687,0.0002909677481756923,False,0.001870506952558022,global,FLPS,hierarchical,k5,0.0019477373645930844
2,ribosomal protein,44,26.83264033264033,311,166,0.1414790996784566,0.2650602409638554,0.7135145009298121,1.01824867301053,0.0003673617987094753,False,0.002066410117740799,global,FLPS,hierarchical,k5,0.0023066903639897287
2,mRNA,98,120.1003118503119,311,743,0.3151125401929261,0.1318977119784657,-0.2933862427839487,-0.5307054868680512,0.005098437410656588,False,0.02549218705328294,global,FLPS,hierarchical,k5,0.025215085628942483
3,mRNA,69,87.66164241164242,227,743,0.3039647577092511,0.09286675639300135,-0.3453493472813002,-0.5877772033407567,0.007158879065126341,False,0.02928632344824412,global,FLPS,hierarchical,k5,0.03239492761314154
3,tRNA,33,21.0010395010395,227,178,0.145374449339207,0.1853932584269663,0.6520052848711828,0.8779650556711404,0.006812903594648109,False,0.02928632344824412,global,FLPS,hierarchical,k5,0.03153401092379982
2,tRNA,41,28.77234927234927,311,178,0.1318327974276527,0.2303370786516854,0.5109408872911253,0.7202324802420418,0.01349251902478333,False,0.05059694634293749,global,FLPS,hierarchical,k5,0.05692156463580467
1,unknown,243,223.8908523908524,1061,406,0.2290292177191329,0.5985221674876847,0.1181607292758817,0.3500337705409242,0.03287286348401362,False,0.1137906812908164,global,FLPS,hierarchical,k5,0.12559914821722185
4,ribosomal protein,2,0.3451143451143451,4,166,0.5,0.01204819277108434,2.534853652423117,3.41654408748713,0.03952533871461401,True,0.1270457315826879,global,FLPS,hierarchical,k5,0.14486662605808753
1,snoRNA,29,22.60966735966736,1061,41,0.02733270499528747,0.7073170731707317,0.3591131333647656,0.9607235129588514,0.05565290413839719,False,0.1669587124151916,global,FLPS,hierarchical,k5,0.18324736728496638
1,ncRNA,76,67.27754677754677,1061,122,0.07163053722902922,0.6229508196721312,0.1758743187359766,0.4485918909265794,0.1100207084579343,False,0.3061767405933531,global,FLPS,hierarchical,k5,0.3094332425379402
5,unknown,57,67.73700623700624,321,406,0.1775700934579439,0.1403940886699507,-0.2489823063726958,-0.3578857511359144,0.1156667686686001,False,0.3061767405933531,global,FLPS,hierarchical,k5,0.3230692504191934
2,snoRNA,3,6.627338877338877,311,41,0.00964630225080386,0.07317073170731707,-1.143467190257488,-1.106964258769176,0.13652113866799,True,0.341302846669975,global,FLPS,hierarchical,k5,0.3590328646788049
3,ncRNA,9,14.39397089397089,227,122,0.03964757709251102,0.07377049180327869,-0.677467739641447,-0.7202984989656941,0.1456868659381247,False,0.3450478403797692,global,FLPS,hierarchical,k5,0.3761794129358915
3,unknown,40,47.9012474012474,227,406,0.1762114537444934,0.09852216748768473,-0.260063225818687,-0.3497294574218162,0.1938012735776831,False,0.4360528655497869,global,FLPS,hierarchical,k5,0.45501168579108203
3,pre-rRNA,10,14.04002079002079,227,119,0.04405286343612335,0.08403361344537816,-0.4895450719414542,-0.5138918528450112,0.3033112750892721,False,0.6499527323341545,global,FLPS,hierarchical,k5,0.6221595354242182
1,snRNA,61,56.24844074844075,1061,102,0.05749293119698397,0.5980392156862745,0.1169961384466678,0.2848414907091777,0.3580855458836251,False,0.7324477074892332,global,FLPS,hierarchical,k5,0.6801307412786125
