n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
,mRNA,21,18.37837837837838,0.19237985227000823,0.12352941176470589,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,ncRNA,3,1.5135135135135136,0.9870609442925017,0.21428571428571427,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,pre-rRNA,0,1.5135135135135136,-inf,0.0,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,ribosomal protein,0,0.43243243243243246,-inf,0.0,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,snRNA,1,2.054054054054054,-1.0384741478146358,0.05263157894736842,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,snoRNA,0,1.0810810810810811,-inf,0.0,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,tRNA,0,0.32432432432432434,-inf,0.0,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,unknown,7,6.486486486486487,0.10991769207803528,0.11666666666666667,signature_presence,0.5684133183002371,present,gs_rich_neutral_region,SEG,0.8755873352147276
,diverse,0,0.10810810810810811,-inf,0.0,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,mRNA,7,9.18918918918919,-0.39258264845114793,0.041176470588235294,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,ncRNA,1,0.7567567567567568,0.40209844357134567,0.07142857142857142,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,pre-rRNA,1,0.7567567567567568,0.40209844357134567,0.07142857142857142,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,ribosomal protein,0,0.21621621621621623,-inf,0.0,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,snRNA,2,1.027027027027027,0.9615258521853643,0.10526315789473684,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,snoRNA,0,0.5405405405405406,-inf,0.0,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,tRNA,1,0.16216216216216217,2.6244908649077936,0.3333333333333333,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,unknown,4,3.2432432432432434,0.3025627700204311,0.06666666666666667,signature_presence,0.4974737608216977,present,basic_enriched_region,SEG,0.8755873352147276
,diverse,0,0.04054054054054054,-inf,0.0,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,mRNA,5,3.445945945945946,0.5370280236574542,0.029411764705882353,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,ncRNA,0,0.28378378378378377,-inf,0.0,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,pre-rRNA,0,0.28378378378378377,-inf,0.0,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,ribosomal protein,0,0.08108108108108109,-inf,0.0,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,snRNA,0,0.38513513513513514,-inf,0.0,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,snoRNA,0,0.20270270270270271,-inf,0.0,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,tRNA,0,0.060810810810810814,-inf,0.0,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,unknown,1,1.2162162162162162,-0.282399730700725,0.016666666666666666,signature_presence,0.9771068356557315,present,unmapped_physicochemical_properties,SEG,0.9994072659380346
,diverse,0,0.02027027027027027,-inf,0.0,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,mRNA,1,1.722972972972973,-0.7849000712299083,0.0058823529411764705,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,ncRNA,0,0.14189189189189189,-inf,0.0,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,pre-rRNA,0,0.14189189189189189,-inf,0.0,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,ribosomal protein,0,0.04054054054054054,-inf,0.0,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,snRNA,0,0.19256756756756757,-inf,0.0,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,snoRNA,0,0.10135135135135136,-inf,0.0,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,tRNA,0,0.030405405405405407,-inf,0.0,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,unknown,2,0.6081081081081081,1.7176002692992751,0.03333333333333333,signature_presence,0.8385724314389515,present,hydrophobic_region,SEG,0.9994072659380346
,diverse,0,0.006756756756756757,-inf,0.0,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
,mRNA,1,0.5743243243243243,0.8000624294912481,0.0058823529411764705,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
,ncRNA,0,0.0472972972972973,-inf,0.0,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
,pre-rRNA,0,0.0472972972972973,-inf,0.0,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
,ribosomal protein,0,0.013513513513513514,-inf,0.0,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
,snRNA,0,0.06418918918918919,-inf,0.0,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
,snoRNA,0,0.033783783783783786,-inf,0.0,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
,tRNA,0,0.010135135135135136,-inf,0.0,signature_presence,0.9994072659380346,present,serine_rich_region,SEG,0.9994072659380346
