rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
pre-rRNA,9,0.028225806451612902,0.035989617073684685,0.020777614921315177,0.018900343642611683,0.046153846153846156,0.027253502511234474,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
ribosomal protein,7,0.09090909090909091,0.10591674147772008,0.05309852138430451,0.0681862063639172,0.128,0.0598137936360828,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
snRNA,1,0.014720314033366046,0.014720314033366046,,0.014720314033366046,0.014720314033366046,0.0,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
snoRNA,4,0.06914483821263483,0.06026462932613516,0.033108749611890365,0.04890099296249879,0.0805084745762712,0.0316074816137724,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
tRNA,14,0.03599059569698461,0.06893045818146507,0.08550246266207756,0.02596681337477316,0.06325987149745546,0.0372930581226823,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
unknown,41,0.028089887640449437,0.04055000805937038,0.0469579200926343,0.014161220043572984,0.04269972451790634,0.028538504474333353,0.02883227517918765,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.04138826598302743
diverse,4,0.027878094954944713,0.030590310346314476,0.023450572949294608,0.011698504317235198,0.04676990098402399,0.035071396666788796,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
mRNA,28,0.021821461889669404,0.03027424753821434,0.03146551787628786,0.01314981359499472,0.03148809523809524,0.01833828164310052,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
ncRNA,10,0.013812681686046512,0.020055576944740174,0.018599968945567796,0.010401912324771088,0.019200639645942458,0.00879872732117137,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
pre-rRNA,6,0.036309278350515464,0.040169818703744815,0.033206408920510244,0.018034427814623652,0.05320979020979021,0.03517536239516656,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
ribosomal protein,5,0.061224489795918366,0.05656079768688359,0.0275229337815687,0.05734767025089606,0.06896551724137931,0.011617846990483252,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
snRNA,2,0.05586438409395104,0.05586438409395104,0.059342809288517415,0.03488353266266569,0.0768452355252364,0.041961702862570706,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
snoRNA,1,0.012711864406779662,0.012711864406779662,,0.012711864406779662,0.012711864406779662,0.0,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
tRNA,14,0.027932090753335755,0.032687732686558224,0.020783873509470127,0.01535384591851563,0.040199856312455096,0.024846010393939466,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
unknown,18,0.015193480572008665,0.028228196056859525,0.030071423319897938,0.0068273829364113355,0.036884010108552065,0.030056627172140728,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
diverse,6,0.11053093356929716,0.23837065864384432,0.37848238462194067,0.03621715611379505,0.16574242118706728,0.12952526507327222,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
mRNA,70,0.11809116152596467,0.20042546111338808,0.2301575960293932,0.03477028941509816,0.27817900157095476,0.2434087121558566,0.15233029286944183,AlcoR,property_fraction__mixed_charge_polyampholyte,protein,0.16946745081725403
