rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,60,0.10883437563727824,0.0977213115729522,0.06444910083143046,0.05,0.1301075268817204,0.08010752688172039,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
mRNA,1040,0.09090909090909091,0.0989459314937546,0.07064055967587213,0.05555555555555555,0.1333333333333333,0.07777777777777775,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
ncRNA,196,0.09346610761705101,0.10520157955279996,0.07289623134250603,0.0625,0.1428571428571428,0.0803571428571428,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
pre-rRNA,133,0.06666666666666667,0.07710879386537292,0.06550476062409225,0.03571428571428571,0.1075697211155379,0.0718554354012522,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
ribosomal protein,98,0.0902257679366113,0.09805186447155012,0.06891194359023801,0.0625,0.1363636363636364,0.07386363636363641,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
snRNA,87,0.1,0.10617577054131865,0.06772089322279343,0.06458333333333333,0.1448412698412698,0.08025793650793647,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
snoRNA,60,0.08633540372670807,0.0887012477611328,0.0685090409111459,0.046908315565031986,0.125,0.07809168443496801,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
tRNA,245,0.1,0.10742413930524788,0.06974880447140801,0.06060606060606061,0.1428571428571428,0.08225108225108219,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
unknown,885,0.09302325581395349,0.09909200821692099,0.06644933149030152,0.05882352941176471,0.1379310344827586,0.07910750507099387,0.0010975750601514257,AlcoR,lcr,frac_aromatic,0.0016463625902271386
diverse,60,0.5303308823529411,0.5280036620888361,0.11531603194848687,0.45811170212765956,0.5819377990430622,0.12382609691540264,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
mRNA,1040,0.5356537530266343,0.5412618018584607,0.1343921982168286,0.46123321123321126,0.6143724696356275,0.15313925840241627,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
ncRNA,196,0.5,0.5019341566685075,0.1278769189373714,0.4250305997552019,0.5760380993150684,0.15100749955986653,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
pre-rRNA,133,0.5652173913043478,0.5592456707930104,0.1413035272339982,0.473972602739726,0.6666666666666666,0.1926940639269406,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
ribosomal protein,98,0.5367083758937692,0.5309243809282033,0.13323283072543807,0.4880261248185777,0.6064814814814815,0.1184553566629038,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
snRNA,87,0.5,0.5047730431467244,0.12782127453758335,0.4166666666666667,0.5789473684210527,0.16228070175438597,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
snoRNA,60,0.5564705882352942,0.5579569059326995,0.15729326469881266,0.46960784313725484,0.6666666666666666,0.1970588235294118,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
tRNA,245,0.5,0.5159127141726433,0.126331865661927,0.4418604651162791,0.5833333333333334,0.1414728682170543,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
unknown,885,0.5201793721973094,0.5277127951379119,0.12851189298509533,0.4555873925501432,0.5909090909090909,0.13532169835894775,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.00015924855532622217
diverse,60,0.125,0.13727649616681709,0.07142640621636939,0.1010869565217391,0.15979166666666667,0.05870471014492756,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
mRNA,1040,0.12,0.1298275099835022,0.09118691418486273,0.07349568267674042,0.1739130434782609,0.10041736080152047,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
ncRNA,196,0.125,0.13371132734054753,0.08707358318487371,0.08205199888174447,0.1666666666666667,0.08461466778492224,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
pre-rRNA,133,0.130718954248366,0.14403629744533059,0.10777012682618933,0.05882352941176471,0.1820987654320988,0.12327523602033408,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
ribosomal protein,98,0.16552511415525117,0.17567951367499757,0.09575863020665143,0.11027777777777778,0.2222222222222222,0.11194444444444443,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
snRNA,87,0.125,0.13615296574751626,0.09246233439194325,0.07938508064516128,0.17851307189542487,0.09912799125026359,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
snoRNA,60,0.11196581196581196,0.12219403912119987,0.09098776027253742,0.056746031746031746,0.1578947368421053,0.10114870509607357,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
tRNA,245,0.1222707423580786,0.13630646683231148,0.07776873294342523,0.09090909090909091,0.1666666666666667,0.0757575757575758,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
unknown,885,0.1262458471760797,0.1305609092457068,0.07764517403729007,0.0821917808219178,0.1679389312977099,0.0857471504757921,0.0005353896831813864,AlcoR,lcr,frac_positive,0.0009178108854538052
diverse,60,0.11611054937647455,0.11244420433007239,0.06440548382989213,0.06839080459770115,0.1538461538461539,0.08545534924845276,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
mRNA,1040,0.1174518479958355,0.12625039424161336,0.0850870949891655,0.07631970500711606,0.1666666666666667,0.09034696165955065,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
