rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
snoRNA,60,0.086335403726708,0.0887012477611328,0.0685090409111459,0.0469083155650319,0.125,0.078091684434968,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
tRNA,245,0.1,0.1074241393052478,0.069748804471408,0.0606060606060606,0.1428571428571428,0.0822510822510821,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
unknown,885,0.0930232558139534,0.0990920082169209,0.0664493314903015,0.0588235294117647,0.1379310344827586,0.0791075050709938,0.0010975750601514,AlcoR,lcr,frac_aromatic,0.0016463625902271
diverse,60,0.5303308823529411,0.5280036620888361,0.1153160319484868,0.4581117021276595,0.5819377990430622,0.1238260969154026,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
mRNA,1040,0.5356537530266343,0.5412618018584607,0.1343921982168286,0.4612332112332112,0.6143724696356275,0.1531392584024162,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
ncRNA,196,0.5,0.5019341566685075,0.1278769189373714,0.4250305997552019,0.5760380993150684,0.1510074995598665,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
pre-rRNA,133,0.5652173913043478,0.5592456707930104,0.1413035272339982,0.473972602739726,0.6666666666666666,0.1926940639269406,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
ribosomal protein,98,0.5367083758937692,0.5309243809282033,0.133232830725438,0.4880261248185777,0.6064814814814815,0.1184553566629038,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
snRNA,87,0.5,0.5047730431467244,0.1278212745375833,0.4166666666666667,0.5789473684210527,0.1622807017543859,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
snoRNA,60,0.5564705882352942,0.5579569059326995,0.1572932646988126,0.4696078431372548,0.6666666666666666,0.1970588235294118,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
tRNA,245,0.5,0.5159127141726433,0.126331865661927,0.4418604651162791,0.5833333333333334,0.1414728682170543,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
unknown,885,0.5201793721973094,0.5277127951379119,0.1285118929850953,0.4555873925501432,0.5909090909090909,0.1353216983589477,7.962427766311109e-05,AlcoR,lcr,frac_disorder,0.0001592485553262
diverse,60,0.125,0.137276496166817,0.0714264062163693,0.1010869565217391,0.1597916666666666,0.0587047101449275,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
mRNA,1040,0.12,0.1298275099835022,0.0911869141848627,0.0734956826767404,0.1739130434782609,0.1004173608015204,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
ncRNA,196,0.125,0.1337113273405475,0.0870735831848737,0.0820519988817444,0.1666666666666667,0.0846146677849222,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
pre-rRNA,133,0.130718954248366,0.1440362974453305,0.1077701268261893,0.0588235294117647,0.1820987654320988,0.123275236020334,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
ribosomal protein,98,0.1655251141552511,0.1756795136749975,0.0957586302066514,0.1102777777777777,0.2222222222222222,0.1119444444444444,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
snRNA,87,0.125,0.1361529657475162,0.0924623343919432,0.0793850806451612,0.1785130718954248,0.0991279912502635,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
snoRNA,60,0.1119658119658119,0.1221940391211998,0.0909877602725374,0.0567460317460317,0.1578947368421053,0.1011487050960735,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
tRNA,245,0.1222707423580786,0.1363064668323114,0.0777687329434252,0.0909090909090909,0.1666666666666667,0.0757575757575758,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
unknown,885,0.1262458471760797,0.1305609092457068,0.07764517403729,0.0821917808219178,0.1679389312977099,0.0857471504757921,0.0005353896831813,AlcoR,lcr,frac_positive,0.0009178108854538
diverse,60,0.1161105493764745,0.1124442043300723,0.0644054838298921,0.0683908045977011,0.1538461538461539,0.0854553492484527,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
mRNA,1040,0.1174518479958355,0.1262503942416133,0.0850870949891655,0.076319705007116,0.1666666666666667,0.0903469616595506,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
ncRNA,196,0.1088090204369273,0.116617316669123,0.077195658261727,0.0714285714285714,0.1538461538461539,0.0824175824175824,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
pre-rRNA,133,0.1194029850746269,0.1386930885015936,0.0974378397291397,0.0769230769230769,0.1764705882352941,0.0995475113122171,2.627154315952279e-05,AlcoR,lcr,frac_negative,6.30517035828547e-05
