rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
ncRNA,11,0.0413223140495867,0.0527896818482787,0.0480176096141104,0.0247779091806829,0.0639400921658986,0.0391621829852156,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
pre-rRNA,9,0.0282258064516129,0.0359896170736846,0.0207776149213151,0.0189003436426116,0.0461538461538461,0.0272535025112344,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
ribosomal protein,7,0.0909090909090909,0.10591674147772,0.0530985213843045,0.0681862063639172,0.128,0.0598137936360828,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
snRNA,1,0.014720314033366,0.014720314033366,,0.014720314033366,0.014720314033366,0.0,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
snoRNA,4,0.0691448382126348,0.0602646293261351,0.0331087496118903,0.0489009929624987,0.0805084745762712,0.0316074816137724,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
tRNA,14,0.0359905956969846,0.068930458181465,0.0855024626620775,0.0259668133747731,0.0632598714974554,0.0372930581226823,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
unknown,41,0.0280898876404494,0.0405500080593703,0.0469579200926343,0.0141612200435729,0.0426997245179063,0.0285385044743333,0.0288322751791876,AlcoR,property_fraction__disorder_rich_spacer_region,protein,0.0413882659830274
diverse,4,0.0278780949549447,0.0305903103463144,0.0234505729492946,0.0116985043172351,0.0467699009840239,0.0350713966667887,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
mRNA,28,0.0218214618896694,0.0302742475382143,0.0314655178762878,0.0131498135949947,0.0314880952380952,0.0183382816431005,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
ncRNA,10,0.0138126816860465,0.0200555769447401,0.0185999689455677,0.010401912324771,0.0192006396459424,0.0087987273211713,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
pre-rRNA,6,0.0363092783505154,0.0401698187037448,0.0332064089205102,0.0180344278146236,0.0532097902097902,0.0351753623951665,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
ribosomal protein,5,0.0612244897959183,0.0565607976868835,0.0275229337815687,0.057347670250896,0.0689655172413793,0.0116178469904832,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
snRNA,2,0.055864384093951,0.055864384093951,0.0593428092885174,0.0348835326626656,0.0768452355252364,0.0419617028625707,0.219494498194032,AlcoR,property_fraction__hydrophobic_region,protein,0.219494498194032
