rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,19,0.0,0.041415120261589757,0.060368167785026586,0.0,0.06439024390243903,0.06439024390243903,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
mRNA,719,0.0303030303030303,0.05079713595686443,0.07385146963915448,0.0,0.07142857142857142,0.07142857142857142,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
ncRNA,69,0.0,0.05147110728749775,0.09776062216692645,0.0,0.05263157894736842,0.05263157894736842,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
pre-rRNA,66,0.0,0.013539183808380224,0.026854324427562547,0.0,0.01209677419354839,0.01209677419354839,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
ribosomal protein,18,0.0,0.015674603174603174,0.024683706788466642,0.0,0.03333333333333333,0.03333333333333333,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
snRNA,77,0.01020408163265306,0.03518169405630876,0.05259530881399116,0.0,0.05555555555555555,0.05555555555555555,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
snoRNA,38,0.0,0.021748040748509848,0.03750327996003076,0.0,0.0440909090909091,0.0440909090909091,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
tRNA,23,0.0,0.032377446546368656,0.08554204679241019,0.0,0.017857142857142856,0.017857142857142856,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
unknown,278,0.02941176470588235,0.04749727846618115,0.06580821695210656,0.0,0.07407407407407407,0.07407407407407407,2.118915750324629e-07,SEG_intermediate,lcr,frac_aromatic,3.6324270005565066e-07
diverse,19,0.76,0.6787412452634921,0.2572031918637266,0.5789473684210527,0.8700588730025232,0.2911115045814705,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
mRNA,719,0.8095238095238095,0.7919935151480941,0.13426345366765685,0.7285012285012284,0.8888888888888888,0.1603876603876604,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
ncRNA,69,0.7878787878787878,0.7480102132034463,0.16876551733321207,0.6666666666666666,0.8636363636363636,0.19696969696969702,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
pre-rRNA,66,0.7977855477855478,0.7545395866490402,0.16970647484964843,0.6666666666666666,0.875,0.20833333333333337,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
ribosomal protein,18,0.8541114058355437,0.7762843422746952,0.22110050016242463,0.7929894179894179,0.8884439359267735,0.0954545179373556,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
snRNA,77,0.7931034482758621,0.7900332153252511,0.11800197084077027,0.7142857142857143,0.8888888888888888,0.17460317460317454,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
snoRNA,38,0.8198051948051948,0.772911807994829,0.16726401231573368,0.73022412656559,0.8778409090909091,0.14761678252531907,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
tRNA,23,0.8181818181818182,0.7508486186569006,0.18169978382048832,0.7130730050933787,0.8675424192665572,0.1544694141731785,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
unknown,278,0.8181818181818182,0.7730753700207564,0.16862806726440302,0.7087309160305344,0.8846153846153846,0.17588446858485018,0.2823575001574592,SEG_intermediate,lcr,frac_disorder,0.2823575001574592
diverse,19,0.04,0.061682661807190314,0.10154239766056883,0.0,0.07019704433497537,0.07019704433497537,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
mRNA,719,0.08695652173913043,0.1683669406259162,0.18139673489852876,0.0,0.32495285983658073,0.32495285983658073,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
ncRNA,69,0.04761904761904762,0.11980585220770382,0.17691948136786956,0.0,0.125,0.125,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
pre-rRNA,66,0.0,0.10443066747921903,0.19046749304445781,0.0,0.10714285714285714,0.10714285714285714,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
ribosomal protein,18,0.3403575989782886,0.2918287015045492,0.20054072068018433,0.11086309523809525,0.4666666666666667,0.35580357142857144,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
snRNA,77,0.1379310344827586,0.23022222997031702,0.21355502445917987,0.03703703703703703,0.4347826086956522,0.3977455716586152,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
snoRNA,38,0.13348164627363734,0.16545443980083516,0.18745493849411982,0.005208333333333332,0.2167174796747967,0.21150914634146337,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
tRNA,23,0.1153846153846154,0.18486413125508605,0.17842464031695637,0.04464285714285714,0.376984126984127,0.3323412698412698,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
unknown,278,0.04347826086956522,0.13962247188859714,0.18761385158930613,0.0,0.2326923076923077,0.2326923076923077,5.774737017093e-07,SEG_intermediate,lcr,frac_positive,7.699649356124e-07
