rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
snRNA,8,0.038558386767808,0.05557830301673289,0.04000886610686439,0.029660083370788497,0.0734366151140251,0.043776531743236605,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
snoRNA,1,0.04040404040404041,0.04040404040404041,,0.04040404040404041,0.04040404040404041,0.0,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
tRNA,1,0.04679144385026738,0.04679144385026738,,0.04679144385026738,0.04679144385026738,0.0,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
unknown,14,0.02144010041391292,0.03140522592067173,0.030642409184763138,0.015139588590560853,0.028190982255198355,0.013051393664637503,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
diverse,2,0.0326100229570654,0.0326100229570654,0.022147815339025722,0.024779587749719143,0.04044045816441166,0.01566087041469252,0.1439339979290336,SEG_intermediate,property_fraction__aromatic_sticker_region,protein,0.15832739772193696
mRNA,53,0.05128205128205128,0.06643074781475368,0.0569434012160058,0.028142589118198873,0.08016877637130802,0.052026187253109146,0.1439339979290336,SEG_intermediate,property_fraction__aromatic_sticker_region,protein,0.15832739772193696
ncRNA,7,0.04670912951167728,0.04147711381029116,0.02523273900306013,0.028339877362886817,0.05012998098785551,0.021790103624968693,0.1439339979290336,SEG_intermediate,property_fraction__aromatic_sticker_region,protein,0.15832739772193696
snRNA,2,0.12519461392804546,0.12519461392804546,0.018313663952043764,0.11871975594361456,0.13166947191247633,0.012949715968861769,0.1439339979290336,SEG_intermediate,property_fraction__aromatic_sticker_region,protein,0.15832739772193696
snoRNA,1,0.048582995951417005,0.048582995951417005,,0.048582995951417005,0.048582995951417005,0.0,0.1439339979290336,SEG_intermediate,property_fraction__aromatic_sticker_region,protein,0.15832739772193696
tRNA,1,0.0975609756097561,0.0975609756097561,,0.0975609756097561,0.0975609756097561,0.0,0.1439339979290336,SEG_intermediate,property_fraction__aromatic_sticker_region,protein,0.15832739772193696
unknown,24,0.04074248694145875,0.05018802982341387,0.03893057231466809,0.02091976054193142,0.06577013374000461,0.04485037319807319,0.1439339979290336,SEG_intermediate,property_fraction__aromatic_sticker_region,protein,0.15832739772193696
mRNA,23,0.03550295857988166,0.03847195003089524,0.02357835111692728,0.016684813016981957,0.049721969816687736,0.03303715679970578,0.012468533139172473,SEG_intermediate,property_fraction__basic_enriched_region,protein,0.02461736030041745
