rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
unknown,19,0.016216216216216217,0.026509510355865025,0.0261176129094259,0.01122309614371941,0.0315027314065981,0.020279635262878692,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
mRNA,9,0.084070796460177,0.0681832636425218,0.04276211363397349,0.03252885624344176,0.0975609756097561,0.06503211936631434,0.47950012218695337,SEG,property_fraction__arginine_rich_rna_contact_region,protein,0.544048215558274
ncRNA,1,0.008787346221441126,0.008787346221441126,,0.008787346221441126,0.008787346221441126,0.0,0.47950012218695337,SEG,property_fraction__arginine_rich_rna_contact_region,protein,0.544048215558274
snRNA,2,0.036976574111208096,0.036976574111208096,0.002722400308798144,0.03601406025148034,0.037939087970935856,0.0019250277194555188,0.47950012218695337,SEG,property_fraction__arginine_rich_rna_contact_region,protein,0.544048215558274
unknown,1,0.00865460267505901,0.00865460267505901,,0.00865460267505901,0.00865460267505901,0.0,0.47950012218695337,SEG,property_fraction__arginine_rich_rna_contact_region,protein,0.544048215558274
mRNA,16,0.05668109100445843,0.06507704943992887,0.05037245525182674,0.03893503194049175,0.07315048275013837,0.03421545080964662,0.3675809588826118,SEG,property_fraction__aromatic_sticker_region,protein,0.471462534219002
ncRNA,2,0.036439964204874456,0.036439964204874456,0.014522792851131821,0.03130538155147304,0.041574546858275864,0.010269165306802823,0.3675809588826118,SEG,property_fraction__aromatic_sticker_region,protein,0.471462534219002
snRNA,1,0.020179372197309416,0.020179372197309416,,0.020179372197309416,0.020179372197309416,0.0,0.3675809588826118,SEG,property_fraction__aromatic_sticker_region,protein,0.471462534219002
snoRNA,1,0.048582995951417005,0.048582995951417005,,0.048582995951417005,0.048582995951417005,0.0,0.3675809588826118,SEG,property_fraction__aromatic_sticker_region,protein,0.471462534219002
tRNA,1,0.07159353348729793,0.07159353348729793,,0.07159353348729793,0.07159353348729793,0.0,0.3675809588826118,SEG,property_fraction__aromatic_sticker_region,protein,0.471462534219002
unknown,3,0.06108597285067873,0.06309703368526898,0.008722650363447706,0.058320764203117145,0.06686777275012569,0.008547008547008544,0.3675809588826118,SEG,property_fraction__aromatic_sticker_region,protein,0.471462534219002
mRNA,7,0.027303754266211604,0.024767836914394752,0.017442710743447252,0.011848942998468967,0.02780953653659599,0.015960593538127024,0.20499445059331303,SEG,property_fraction__basic_enriched_region,protein,0.30236681462513676
ncRNA,1,0.017326732673267328,0.017326732673267328,,0.017326732673267328,0.017326732673267328,0.0,0.20499445059331303,SEG,property_fraction__basic_enriched_region,protein,0.30236681462513676
pre-rRNA,1,0.020833333333333332,0.020833333333333332,,0.020833333333333332,0.020833333333333332,0.0,0.20499445059331303,SEG,property_fraction__basic_enriched_region,protein,0.30236681462513676
snRNA,2,0.09303203368277263,0.09303203368277263,0.07960499712801233,0.06488741703999604,0.12117665032554921,0.05628923328555317,0.20499445059331303,SEG,property_fraction__basic_enriched_region,protein,0.30236681462513676
tRNA,1,0.021311475409836064,0.021311475409836064,,0.021311475409836064,0.021311475409836064,0.0,0.20499445059331303,SEG,property_fraction__basic_enriched_region,protein,0.30236681462513676
unknown,4,0.013875087336400384,0.027131252073556582,0.0289964493144722,0.012386131775323203,0.028620207634633764,0.01623407585931056,0.20499445059331303,SEG,property_fraction__basic_enriched_region,protein,0.30236681462513676
diverse,2,0.037618835412953064,0.037618835412953064,0.02998796583909081,0.027016488413547236,0.048221182412358884,0.021204693998811648,0.004670238005146654,SEG,property_fraction__disorder_rich_spacer_region,protein,0.017221502643978287
mRNA,82,0.03662814259960591,0.04221939070550002,0.02824644406531327,0.023212585415033047,0.0493428140486964,0.026130228633663353,0.004670238005146654,SEG,property_fraction__disorder_rich_spacer_region,protein,0.017221502643978287
ncRNA,6,0.054881352558715554,0.08131868959268984,0.08565796542366606,0.02903141751042287,0.0759262917756518,0.046894874265228925,0.004670238005146654,SEG,property_fraction__disorder_rich_spacer_region,protein,0.017221502643978287
ribosomal protein,2,0.08661140048419044,0.08661140048419044,0.028800945265554337,0.07642872863326242,0.09679407233511848,0.020365343701856067,0.004670238005146654,SEG,property_fraction__disorder_rich_spacer_region,protein,0.017221502643978287
snRNA,5,0.020179372197309416,0.022788248138312962,0.008028498181138726,0.01756311745334797,0.02716297786720322,0.00959986041385525,0.004670238005146654,SEG,property_fraction__disorder_rich_spacer_region,protein,0.017221502643978287
snoRNA,2,0.04298188430659439,0.04298188430659439,0.030823411977544384,0.032084162492280244,0.05387960612090853,0.021795443628628286,0.004670238005146654,SEG,property_fraction__disorder_rich_spacer_region,protein,0.017221502643978287
unknown,29,0.022747952684258416,0.02942279709125077,0.03288707928051132,0.012320328542094456,0.0321285140562249,0.01980818551413044,0.004670238005146654,SEG,property_fraction__disorder_rich_spacer_region,protein,0.017221502643978287
mRNA,21,0.04335260115606936,0.054311491757711626,0.03935120498500264,0.024667931688804556,0.05555555555555555,0.030887623866750997,0.18945675808080065,SEG,property_fraction__gs_rich_neutral_region,protein,0.30236681462513676
ncRNA,3,0.0430622009569378,0.04850428061760229,0.03033384315814881,0.032161021738311424,0.06212649966656092,0.029965477928249495,0.18945675808080065,SEG,property_fraction__gs_rich_neutral_region,protein,0.30236681462513676
snRNA,1,0.014720314033366046,0.014720314033366046,,0.014720314033366046,0.014720314033366046,0.0,0.18945675808080065,SEG,property_fraction__gs_rich_neutral_region,protein,0.30236681462513676
unknown,7,0.021690767519466074,0.030768966484103367,0.026051633812272046,0.009843999855525018,0.04499994134140475,0.035155941485879735,0.18945675808080065,SEG,property_fraction__gs_rich_neutral_region,protein,0.30236681462513676
mRNA,20,0.022650129240387118,0.03784898099055821,0.037043879789676507,0.017299750662303257,0.04893424571338682,0.031634495051083567,0.7399119113256125,SEG,property_fraction__other,protein,0.7399119113256125
ncRNA,1,0.008646998982706003,0.008646998982706003,,0.008646998982706003,0.008646998982706003,0.0,0.7399119113256125,SEG,property_fraction__other,protein,0.7399119113256125
pre-rRNA,1,0.018018018018018018,0.018018018018018018,,0.018018018018018018,0.018018018018018018,0.0,0.7399119113256125,SEG,property_fraction__other,protein,0.7399119113256125
snRNA,1,0.13836477987421383,0.13836477987421383,,0.13836477987421383,0.13836477987421383,0.0,0.7399119113256125,SEG,property_fraction__other,protein,0.7399119113256125
snoRNA,1,0.12874251497005987,0.12874251497005987,,0.12874251497005987,0.12874251497005987,0.0,0.7399119113256125,SEG,property_fraction__other,protein,0.7399119113256125
tRNA,1,0.12933025404157045,0.12933025404157045,,0.12933025404157045,0.12933025404157045,0.0,0.7399119113256125,SEG,property_fraction__other,protein,0.7399119113256125
unknown,7,0.024528301886792454,0.027857756509495426,0.02406051283456761,0.01597563760207104,0.027278928438546447,0.011303290836475407,0.7399119113256125,SEG,property_fraction__other,protein,0.7399119113256125
mRNA,19,0.05663430420711974,0.06846946485860125,0.05587888770813398,0.022561145582754315,0.09449132111861139,0.07193017553585707,0.034891937365175034,SEG,property_fraction__rg_rgg_repeat_region,protein,0.09357383202478758
ribosomal protein,1,0.11009174311926606,0.11009174311926606,,0.11009174311926606,0.11009174311926606,0.0,0.034891937365175034,SEG,property_fraction__rg_rgg_repeat_region,protein,0.09357383202478758
snRNA,2,0.18542370219115684,0.18542370219115684,0.011106679984081493,0.18149689782455036,0.1893505065577633,0.007853608733212947,0.034891937365175034,SEG,property_fraction__rg_rgg_repeat_region,protein,0.09357383202478758
snoRNA,4,0.17000269124672004,0.21826220107867253,0.18290909044870834,0.086512186893818,0.30175270543157456,0.21524051853775655,0.034891937365175034,SEG,property_fraction__rg_rgg_repeat_region,protein,0.09357383202478758
tRNA,1,0.05542725173210162,0.05542725173210162,,0.05542725173210162,0.05542725173210162,0.0,0.034891937365175034,SEG,property_fraction__rg_rgg_repeat_region,protein,0.09357383202478758
unknown,5,0.064,0.05300179712339591,0.025285324815640414,0.037366548042704624,0.06542056074766354,0.02805401270495892,0.034891937365175034,SEG,property_fraction__rg_rgg_repeat_region,protein,0.09357383202478758
mRNA,33,0.08902077151335312,0.10694771610871714,0.09398949182368202,0.04712041884816754,0.12929623567921442,0.08217581683104688,0.39180485461850934,SEG,property_fraction__sr_rs_repeat_region,protein,0.48159346713525103
snRNA,6,0.05019213332757653,0.1202183847675335,0.1755956438701182,0.039057926667021445,0.0689428806049958,0.029884953937974357,0.39180485461850934,SEG,property_fraction__sr_rs_repeat_region,protein,0.48159346713525103
