n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
,snRNA,13,9.270142180094787,0.4878482518960434,0.21666666666666667,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,snoRNA,6,4.480568720379147,0.421280634957054,0.20689655172413793,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,tRNA,9,7.879620853080569,0.19179878883428655,0.17647058823529413,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,unknown,31,33.37251184834123,-0.10639206241312348,0.14351851851851852,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,diverse,0,0.6682464454976303,-inf,0.0,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,mRNA,15,21.6957345971564,-0.5324489345569136,0.030800821355236138,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,ncRNA,3,3.0739336492890996,-0.03512352414010274,0.043478260869565216,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,pre-rRNA,6,3.6530805687203793,0.7158489280199826,0.07317073170731707,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,ribosomal protein,8,2.0492890995260664,1.9648764758598973,0.17391304347826086,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,snRNA,4,2.6729857819905214,0.5815478363083916,0.06666666666666667,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,snoRNA,2,1.2919431279620852,0.6304574367893382,0.06896551724137931,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,tRNA,2,2.272037914691943,-0.1839869100545856,0.0392156862745098,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,unknown,7,9.622748815165878,-0.4590941481889545,0.032407407407407406,position_presence,0.0019590848726975785,present,domain_intrinsic,CAST,0.0031835129181335647
,diverse,2,3.3981042654028437,-0.7647301199947196,0.13333333333333333,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,mRNA,128,110.32511848341233,0.2143825135314566,0.26283367556468173,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,ncRNA,15,15.63127962085308,-0.05947338555585154,0.21739130434782608,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,pre-rRNA,4,18.576303317535544,-2.2153915290042847,0.04878048780487805,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,ribosomal protein,5,10.42085308056872,-1.0594733855558518,0.10869565217391304,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,snRNA,13,13.592417061611375,-0.06429040185362747,0.21666666666666667,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,snoRNA,4,6.569668246445498,-0.7158205195137732,0.13793103448275862,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,tRNA,13,11.553554502369668,0.17017485178339553,0.2549019607843137,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,unknown,55,48.93270142180095,0.16863268697498987,0.25462962962962965,signature_presence,0.0013239203811008637,present,disorder_rich_spacer_region,CAST,0.0024587092791873186
,diverse,8,3.909952606635071,1.032848879574007,0.5333333333333333,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,mRNA,130,126.94312796208531,0.034329326128637885,0.2669404517453799,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,ncRNA,20,17.98578199052133,0.15314311329171865,0.2898550724637681,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,pre-rRNA,11,21.37440758293839,-0.9583809107982608,0.13414634146341464,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,ribosomal protein,2,11.990521327014218,-2.5838224808744874,0.043478260869565216,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,snRNA,11,15.639810426540285,-0.5077195017886956,0.18333333333333332,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,snoRNA,5,7.559241706161138,-0.5963134250576843,0.1724137931034483,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,tRNA,13,13.293838862559241,-0.032246148647877886,0.2549019607843137,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,unknown,75,56.30331753554503,0.41367066351493775,0.3472222222222222,signature_presence,1.9915691777958002e-05,present,cation_pi_rich_neighborhood,CAST,5.17807986226908e-05
,diverse,4,4.023696682464455,-0.008521554845853268,0.26666666666666666,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,mRNA,112,130.63601895734598,-0.222053999262073,0.2299794661190965,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,ncRNA,20,18.509004739336493,0.11177267887185843,0.2898550724637681,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,pre-rRNA,32,21.99620853080569,0.5408170361445813,0.3902439024390244,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,ribosomal protein,4,12.339336492890995,-1.6251929152943478,0.08695652173913043,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,snRNA,22,16.09478672985782,0.4509100637914438,0.36666666666666664,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,snoRNA,12,7.7791469194312794,0.6253505463562493,0.41379310344827586,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,tRNA,13,13.680568720379148,-0.0736165830677384,0.2549019607843137,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,unknown,64,57.94123222748815,0.1434815385991968,0.2962962962962963,signature_presence,0.001733980092079782,present,acidic_region,CAST,0.003005565492938289
,diverse,1,0.2132701421800948,2.2292460923775104,0.06666666666666667,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
,mRNA,9,6.924170616113744,0.378283727345999,0.018480492813141684,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
,ncRNA,1,0.981042654028436,0.027612231207859706,0.014492753623188406,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
,pre-rRNA,0,1.1658767772511849,-inf,0.0,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
,ribosomal protein,0,0.6540284360189573,-inf,0.0,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
,snRNA,1,0.8530805687203792,0.22924609237751048,0.016666666666666666,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
,snoRNA,0,0.41232227488151657,-inf,0.0,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
,tRNA,0,0.7251184834123223,-inf,0.0,signature_presence,0.5800041854918534,present,unmapped_physicochemical_properties,CAST,0.6854594919449176
