rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
ncRNA,15,0.06157112526539278,0.06719894154180049,0.05149319722207648,0.03200115119812358,0.08094652491272611,0.04894537371460253,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
pre-rRNA,4,0.049966482319423494,0.0854444486358446,0.1006762696068692,0.030193428722840487,0.10521750223242761,0.07502407350958712,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
ribosomal protein,5,0.12302839116719243,0.1822388576715248,0.14915722156695455,0.06896551724137931,0.3130434782608696,0.24407796101949028,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
snRNA,13,0.15510718789407313,0.2073412550835146,0.1995356565533271,0.08991228070175439,0.2375886524822695,0.14767637178051513,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
snoRNA,4,0.09904076738609113,0.12236076034773329,0.09739131805588076,0.05763634554758959,0.16376518218623481,0.10612883663864522,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
tRNA,13,0.08185538881309687,0.12147283136192003,0.08239558619816961,0.06484641638225255,0.1907514450867052,0.12590502870445264,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
unknown,55,0.05628517823639775,0.07267348198222522,0.06464998501441589,0.030820345030290165,0.08418427526707781,0.05336393023678764,0.0028988395153241846,CAST,property_fraction__disorder_rich_spacer_region,protein,0.006925005508829996
diverse,1,0.9328813559322033,0.9328813559322033,,0.9328813559322033,0.9328813559322033,0.0,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
mRNA,76,0.20633428431887996,0.2809300741365385,0.25787387175959314,0.0785475428903751,0.39738238764259853,0.31883484475222346,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
ncRNA,14,0.09849470610788333,0.23307179802016015,0.24795272574709484,0.055391115584338305,0.36212856086275075,0.30673744527841246,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
pre-rRNA,3,0.7407407407407407,0.6521196050355534,0.3640817833824342,0.4963245688436528,0.8522252090800477,0.35590064023639495,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
ribosomal protein,1,0.2826086956521739,0.2826086956521739,,0.2826086956521739,0.2826086956521739,0.0,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
snRNA,2,0.1989185985751246,0.1989185985751246,0.2604957121648134,0.10681945630424532,0.29101774084600385,0.18419828454175852,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
tRNA,1,0.035667107001321,0.035667107001321,,0.035667107001321,0.035667107001321,0.0,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
unknown,28,0.19786001620793014,0.2696314560891096,0.23415450795746579,0.0956825800485493,0.38669362684163305,0.29101104679308376,0.29458723134188597,CAST,property_fraction__gs_rich_neutral_region,protein,0.3290195051350934
diverse,1,0.08851674641148326,0.08851674641148326,,0.08851674641148326,0.08851674641148326,0.0,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
mRNA,40,0.2733907878079657,0.30953670077648165,0.24177207359636033,0.13911262855519613,0.4134866543088927,0.27437402575369657,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
ncRNA,8,0.21937988535695674,0.25824576609832717,0.1822170237520024,0.15437469177680962,0.29829742665416326,0.14392273487735363,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
pre-rRNA,13,0.21455938697318008,0.3291584177533193,0.2384980808962855,0.16960651289009498,0.5372750642673522,0.3676685513772572,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
ribosomal protein,3,0.21951219512195122,0.27331480909745803,0.22657779468589412,0.14899660389008954,0.37073170731707317,0.22173510342698363,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
snRNA,11,0.2182741116751269,0.23612639196902038,0.181887425946434,0.11214953271028037,0.2941539728283244,0.182004440118044,0.6890222453599187,CAST,property_fraction__mixed_charge_polyampholyte,protein,0.6890222453599187
