rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
tRNA,62,0.1214756258234519,0.15871979920266976,0.1151056470836611,0.06851851851851852,0.24890350877192982,0.18038499025341131,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
unknown,460,0.1208470244614823,0.1440776041659077,0.1151506245526627,0.060731625648752716,0.2,0.13926837435124728,4.195045418166778e-21,CAST,lcr,frac_positive,2.307274979991728e-20
diverse,27,0.1267605633802817,0.14250843351209785,0.13107297489514277,0.04438025210084033,0.20159339877649735,0.157213146675657,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
mRNA,879,0.1041666666666667,0.1418771292226493,0.13965238084447884,0.038143298781596655,0.20658996296534549,0.16844666418374882,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
ncRNA,124,0.1306935817805383,0.1767696898291706,0.15439878055270073,0.07242011524358302,0.22230224882524055,0.14988213358165753,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
pre-rRNA,119,0.1711229946524064,0.23612717317245652,0.1856322796224063,0.10662660386551895,0.33067875520705714,0.2240521513415382,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
ribosomal protein,48,0.10011123470522805,0.125495122418019,0.12331834173966914,0.05699555656830351,0.1714285714285714,0.11443301486026788,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
snRNA,109,0.1790123456790123,0.19265257647690093,0.13861245761874616,0.09090909090909091,0.2857142857142857,0.1948051948051948,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
snoRNA,52,0.17384939387713172,0.21227858935305777,0.17926090033649342,0.08234126984126984,0.3041666666666667,0.22182539682539687,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
tRNA,62,0.1759504862953139,0.21411442842832581,0.17054369670745753,0.10357142857142858,0.26304554079696396,0.15947411222553537,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
unknown,460,0.1457866334578663,0.16706249522244856,0.13245541435743668,0.06952491309385864,0.24129855635957806,0.17177364326571942,1.4714518091761012e-13,CAST,lcr,frac_negative,4.0464924752342783e-13
diverse,27,0.2668213457076566,0.29425814446714643,0.19750099291909998,0.15318729235880396,0.44246323529411763,0.28927594293531367,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
mRNA,879,0.2459016393442623,0.2791281598532068,0.19264201619792426,0.1151635720601238,0.4267199612403101,0.3115563891801863,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
ncRNA,124,0.268146742567995,0.3196118737155131,0.20255675514505356,0.16447368421052636,0.4676470588235294,0.3031733746130031,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
pre-rRNA,119,0.4503816793893129,0.46468348373834706,0.1288203633709553,0.40068027210884355,0.5016129032258064,0.10093263111696288,1.5485419176264076e-27,CAST,lcr,fcr,1.7033961093890482e-26
