position,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,has_pfam,signature,method,p_fdr
domain_intrinsic,pre-rRNA,57.0,41.66724286949006,0.4520482795228176,0.11468812877263582,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,ribosomal protein,54.0,17.1028522039758,1.658722467112335,0.2647058823529412,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,snRNA,56.0,36.9723422644771,0.5989803834204457,0.12698412698412698,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,snoRNA,29.0,15.509939498703543,0.9028598415316222,0.15675675675675677,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,tRNA,85.0,32.27744165946413,1.3969366074758003,0.22077922077922077,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,unknown,95.0,176.39412273120138,-0.8928030740409921,0.04515209125475285,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,diverse,9.0,16.167921965674775,-0.8451373571379223,0.05113636363636364,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,mRNA,380.0,321.8886282257069,0.23943780878683701,0.10844748858447488,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,ncRNA,45.0,55.39350537103346,-0.2997918355133474,0.07462686567164178,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,pre-rRNA,23.0,45.65600691443388,-0.9891708254482107,0.04627766599597585,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,ribosomal protein,1.0,18.740091369304853,-4.228056081914433,0.004901960784313725,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,snRNA,57.0,40.511668107173726,0.49262442866428363,0.1292517006802721,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,snoRNA,11.0,16.99469070255587,-0.6275805818219522,0.05945945945945946,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,tRNA,21.0,35.36732929991357,-0.7520279527464409,0.05454545454545454,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
interdomain_linker,unknown,197.0,193.28015804420298,0.02750209022113667,0.09363117870722433,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,diverse,34.0,28.72848499814792,0.2430528322704446,0.19318181818181818,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,mRNA,551.0,571.9580195085813,-0.05385694137261343,0.1572488584474886,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,ncRNA,185.0,98.42770712433634,0.9103888782736297,0.3067993366500829,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,pre-rRNA,82.0,81.12532411408816,0.015471572713199955,0.16498993963782696,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,ribosomal protein,11.0,33.298925793307816,-1.5979721136767961,0.05392156862745098,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,snRNA,126.0,71.98444252376837,0.8076666875997982,0.2857142857142857,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,snoRNA,25.0,30.19755525373503,-0.27250366108418506,0.13513513513513514,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
unclassified_no_pfam,tRNA,55.0,62.84356093344857,-0.19233331240020177,0.14285714285714285,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
