method,rna_class,metric,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
CAST,ribosomal protein,fcr,48,0.4447368421052631,0.3480392156862745,0.5501792114695341,0.2021399957832595,0.4294977972890784,0.1851178176668025,1.5485419176264076e-27,1.858250301151689e-26
CAST,snRNA,fcr,109,0.425531914893617,0.2051282051282051,0.5172413793103449,0.3121131741821398,0.3788953575026531,0.1976391516206479,1.5485419176264076e-27,1.858250301151689e-26
CAST,snoRNA,fcr,52,0.4360599078341013,0.2598148148148148,0.4957142857142856,0.2358994708994708,0.3972936941706197,0.1833271666753735,1.5485419176264076e-27,1.858250301151689e-26
CAST,tRNA,fcr,62,0.3900928792569659,0.2034976152623211,0.5234133126934984,0.3199156974311773,0.3728342276309955,0.1947614307746105,1.5485419176264076e-27,1.858250301151689e-26
CAST,unknown,fcr,460,0.3123865210032313,0.1574835526315789,0.4522429261559696,0.2947593735243906,0.3111400993883563,0.186238666005984,1.5485419176264076e-27,1.858250301151689e-26
FLPS,diverse,fcr,176,0.177115987460815,0.0475,0.4244505494505494,0.3769505494505494,0.2620051530072574,0.2657289712398167,9.085310909669081e-61,5.451186545801447e-60
FLPS,mRNA,fcr,3504,0.1962535014005602,0.0711770623742454,0.4680851063829787,0.3969080440087332,0.2849333106633635,0.2679822489764631,9.085310909669081e-61,5.451186545801447e-60
FLPS,ncRNA,fcr,603,0.2,0.0885620915032679,0.5047169811320755,0.4161548896288075,0.3101650729203661,0.2786364991080949,9.085310909669081e-61,5.451186545801447e-60
FLPS,pre-rRNA,fcr,497,0.4880952380952381,0.2222222222222222,0.6666666666666666,0.4444444444444444,0.4718278595064715,0.2780853632057229,9.085310909669081e-61,5.451186545801447e-60
FLPS,ribosomal protein,fcr,204,0.375,0.1983870967741935,0.5668918918918919,0.3685047951176984,0.3851219347408491,0.2386254528600483,9.085310909669081e-61,5.451186545801447e-60
FLPS,snRNA,fcr,441,0.3333333333333333,0.1111111111111111,0.625,0.5138888888888888,0.380433161815998,0.2976360046866828,9.085310909669081e-61,5.451186545801447e-60
FLPS,snoRNA,fcr,185,0.4583333333333333,0.2352941176470588,0.6666666666666666,0.4313725490196078,0.4679057454294968,0.2854312873602534,9.085310909669081e-61,5.451186545801447e-60
FLPS,tRNA,fcr,385,0.2068965517241379,0.1052631578947368,0.5294117647058824,0.4241486068111456,0.3196063652947887,0.2794458900895826,9.085310909669081e-61,5.451186545801447e-60
FLPS,unknown,fcr,2104,0.2222222222222222,0.0909090909090909,0.5242130750605327,0.4333039841514418,0.3159502173289548,0.2768151936881273,9.085310909669081e-61,5.451186545801447e-60
LCRFinder,diverse,fcr,93,0.0,0.0,0.2,0.2,0.1737100712907164,0.3121728682625148,2.046851975800426e-49,1.2281111854802556e-48
LCRFinder,mRNA,fcr,3379,0.1428571428571428,0.0,0.6,0.6,0.3162995918638162,0.3644577134653847,2.046851975800426e-49,1.2281111854802556e-48
LCRFinder,ncRNA,fcr,396,0.1428571428571428,0.0,0.6666666666666666,0.6666666666666666,0.3315729278828583,0.3744556691406566,2.046851975800426e-49,1.2281111854802556e-48
LCRFinder,pre-rRNA,fcr,320,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666667,0.5983050494302693,0.3730869653999543,2.046851975800426e-49,1.2281111854802556e-48
