level,method,metric,rna_class,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
lcr,LCRFinder,coverage_per_lcr,unknown,1483,0.005090909090909,0.0030706243602865,0.0086518875733256,0.005581263213039,0.0077344799332238,0.0083142722002381,7.037198473588471e-95,8.444638168306164e-94
lcr,SEG,coverage_per_lcr,diverse,2,0.037618835412953,0.0270164884135472,0.0482211824123588,0.0212046939988116,0.037618835412953,0.0299879658390908,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,mRNA,287,0.0328638497652582,0.0212324736788823,0.0542335115864527,0.0330010379075704,0.0446910578663895,0.0364035858318803,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,ncRNA,34,0.0158745084814644,0.012269114616375,0.0261349484886222,0.0138658338722471,0.0267702845644951,0.0410079890758992,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,pre-rRNA,20,0.0249868417407684,0.0127016129032258,0.0389915607306911,0.0262899478274653,0.0389773253149934,0.0362916596569446,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,ribosomal protein,4,0.0866114004841904,0.0599351120628327,0.1077554939193514,0.0478203818565186,0.0810792054979937,0.0333596176811311,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,snRNA,26,0.0337248957938613,0.0203480346097496,0.0958488420181968,0.0755008074084471,0.0648447742415555,0.0648834070933837,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,snoRNA,21,0.048582995951417,0.0240112994350282,0.092814371257485,0.0688030718224567,0.0711625546220661,0.0648860451460519,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,tRNA,6,0.0424677242267065,0.0233606557377049,0.0675519630484988,0.0441913073107939,0.05462447384656,0.0418793979833641,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG,coverage_per_lcr,unknown,93,0.0205278592375366,0.0108798486281929,0.0301507537688442,0.0192709051406512,0.0251484792581179,0.0178746318769075,6.6214382367277816e-12,2.648575294691113e-11
lcr,SEG_intermediate,coverage_per_lcr,diverse,19,0.0353535353535353,0.0174803399599472,0.0768547858391608,0.0593744458792135,0.0486105336255698,0.0365495117143166,4.142961571770857e-26,4.971553886125029e-25
lcr,SEG_intermediate,coverage_per_lcr,mRNA,719,0.0409026798307475,0.0239747982756714,0.0734322961271291,0.0494574978514576,0.0598206085040724,0.060830861680822,4.142961571770857e-26,4.971553886125029e-25
