method,primary_class,rna_primary_class,observed_n,class_n,method_superclass_n,method_n,observed_fraction,background_fraction,fold_enrichment,log2_fold_enrichment,abs_log2_fold
SEG_intermediate,domain_edge,mRNA,42,60,719,1307,0.7,0.550114766641163,1.272461752433936,0.3476222925263773,0.3476222925263773
SEG_intermediate,domain_intrinsic,mRNA,18,38,719,1307,0.4736842105263158,0.550114766641163,0.8610643437522875,-0.21580704664513783,0.21580704664513783
SEG_intermediate,interdomain_linker,mRNA,78,118,719,1307,0.6610169491525424,0.550114766641163,1.201598265010254,0.26495463485654197,0.26495463485654197
SEG_intermediate,interdomain_linker,unknown,21,118,278,1307,0.1779661016949153,0.2127008416220352,0.8366967442994756,-0.2572232735111553,0.2572232735111553
SEG_intermediate,unclassified_no_pfam,mRNA,88,174,719,1307,0.5057471264367817,0.550114766641163,0.9193483925631065,-0.12131641185529558,0.12131641185529558
SEG_intermediate,unclassified_no_pfam,ncRNA,21,174,69,1307,0.1206896551724138,0.05279265493496557,2.286106946526737,1.1928928959472964,1.1928928959472964
SEG_intermediate,unclassified_no_pfam,pre-rRNA,19,174,66,1307,0.1091954022988506,0.0504973221117062,2.162399860675723,1.1126333240318371,1.1126333240318371
SEG_intermediate,unclassified_no_pfam,snRNA,24,174,77,1307,0.1379310344827586,0.05891354246365723,2.341244961934617,1.2272758899729597,1.2272758899729597
SEG_intermediate,unclassified_no_pfam,unknown,14,174,278,1307,0.08045977011494253,0.2127008416220352,0.3782766889936326,-1.4024862207191988,1.4024862207191988
SEG_strict,distal_terminal,mRNA,141,254,287,493,0.5551181102362205,0.5821501014198783,0.9535652555625669,-0.06859642467114856,0.06859642467114856
SEG_strict,distal_terminal,ncRNA,22,254,34,493,0.08661417322834646,0.06896551724137931,1.255905511811024,0.32872792699270403,0.32872792699270403
SEG_strict,distal_terminal,snoRNA,12,254,21,493,0.04724409448818898,0.04259634888438134,1.109111361079865,0.14940422754814164,0.14940422754814164
SEG_strict,distal_terminal,unknown,60,254,93,493,0.2362204724409449,0.1886409736308317,1.252222504445009,0.324490934106233,0.324490934106233
SEG_strict,domain_adjacent,mRNA,72,110,287,493,0.6545454545454545,0.5821501014198783,1.124358568261007,0.16910219761987627,0.16910219761987627
SEG_strict,domain_adjacent,unknown,18,110,93,493,0.1636363636363636,0.1886409736308317,0.8674486803519061,-0.20514968681246712,0.20514968681246712
SEG_strict,interdomain_linker,mRNA,28,38,287,493,0.7368421052631579,0.5821501014198783,1.265725288831836,0.3399643183162427,0.3399643183162427
SEG_strict,unclassified_no_pfam,mRNA,31,67,287,493,0.4626865671641791,0.5821501014198783,0.7947891205990951,-0.3313559703686735,0.3313559703686735
SEG_strict,unclassified_no_pfam,pre-rRNA,10,67,20,493,0.1492537313432836,0.04056795131845842,3.67910447761194,1.879354645920139,1.879354645920139
SEG_strict,unclassified_no_pfam,snRNA,11,67,26,493,0.1641791044776119,0.05273833671399594,3.113088404133181,1.6383465464163445,1.6383465464163445
fLPS_strict,distal_terminal,diverse,73,3474,176,8099,0.02101324122049511,0.02173107791085319,0.9669672763908514,-0.04846102730257889,0.04846102730257889
fLPS_strict,distal_terminal,mRNA,1475,3474,3504,8099,0.4245826137017847,0.4326460056797136,0.9813626108364024,-0.027141788009906263,0.027141788009906263
fLPS_strict,distal_terminal,ncRNA,246,3474,603,8099,0.07081174438687392,0.07445363625138907,0.9510851041281788,-0.07235365410614382,0.07235365410614382
fLPS_strict,distal_terminal,pre-rRNA,227,3474,497,8099,0.06534254461715601,0.06136560069144339,1.064807382000697,0.09059247818332948,0.09059247818332948
fLPS_strict,distal_terminal,ribosomal protein,14,3474,204,8099,0.004029936672423719,0.0251882948512162,0.1599924368135279,-2.6439243874591907,2.6439243874591907
fLPS_strict,distal_terminal,snRNA,96,3474,441,8099,0.02763385146804836,0.05445116681071737,0.5074978753735231,-0.978526312381663,0.978526312381663
